customer_id,company_name,tier,product,region,industry,status,acv,mrr,health_score,nps_score,signup_date,last_login_date,days_as_customer,logins_last_30d,support_tickets_q3,csm_owner
CUST-0001,Peak Solutions,Starter,Cloud Analytics Pro,Southeast,Healthcare,Active,3800,317,87,0,2024-02-14,2024-03-09,229,27,18,Jordan Lee
CUST-0002,Atlas Systems,Starter,Cloud Analytics Pro,International,Healthcare,Active,7700,642,84,6,2024-04-22,2024-06-02,161,37,14,Jordan Lee
CUST-0003,Nexus Systems,Growth,Data Pipeline Suite,Northeast,Finance,Active,14100,1175,79,0,2024-06-25,2024-09-02,97,16,19,Sara Okonkwo
CUST-0004,River Systems,Enterprise,Reporting Dashboard,International,Finance,Active,136600,11383,92,5,2024-04-26,2024-08-02,157,5,9,Jordan Lee
CUST-0005,Peak Solutions,Starter,Reporting Dashboard,Northeast,Finance,Active,4800,400,82,3,2024-02-06,2024-08-11,237,40,19,Tom Wilder
CUST-0006,Vertex Labs,Growth,Reporting Dashboard,International,Healthcare,Active,37400,3117,58,6,2024-01-17,2024-05-05,257,25,10,Jordan Lee
CUST-0007,Peak Dynamics,Growth,Legacy On-Premise,Midwest,Education,Active,28400,2367,71,8,2024-05-14,2024-07-10,139,27,18,Marcus Chen
CUST-0008,Vertex Technologies,Growth,Cloud Analytics Pro,Pacific Northwest,Healthcare,Active,35100,2925,82,9,2024-07-16,2024-08-18,76,38,12,Tom Wilder
CUST-0009,Beacon Solutions,Starter,Cloud Analytics Pro,International,Finance,Active,8100,675,61,-1,2024-08-10,2024-09-12,51,29,5,Marcus Chen
CUST-0010,Summit Technologies,Starter,Cloud Analytics Pro,Southeast,Education,Active,6100,508,52,-1,2024-03-23,2024-06-14,191,49,17,Tom Wilder
CUST-0011,Vertex Solutions,Enterprise,Reporting Dashboard,Southeast,Healthcare,Active,58700,4892,98,10,2024-02-10,2024-08-23,233,46,2,Jordan Lee
CUST-0012,Atlas Labs,Enterprise,Legacy On-Premise,International,Healthcare,Active,89800,7483,97,4,2024-04-18,2024-07-30,165,48,17,Marcus Chen
CUST-0013,Peak Technologies,Growth,Legacy On-Premise,Pacific Northwest,Healthcare,Active,19000,1583,76,-1,2024-04-27,2024-05-13,156,14,18,Jordan Lee
CUST-0014,Summit Systems,Starter,Reporting Dashboard,Pacific Northwest,Manufacturing,Active,3900,325,82,10,2024-03-08,2024-09-25,206,36,18,Priya Patel
CUST-0015,Atlas Group,Growth,Cloud Analytics Pro,Midwest,Finance,At Risk,26900,2242,84,1,2024-01-28,2024-05-11,246,41,20,Jordan Lee
CUST-0016,Beacon Dynamics,Starter,Cloud Analytics Pro,Northeast,Healthcare,Active,3500,292,68,5,2024-04-03,2024-07-26,180,29,8,Jordan Lee
CUST-0017,River Systems,Enterprise,Cloud Analytics Pro,Pacific Northwest,Healthcare,Active,74900,6242,85,8,2024-07-24,2024-09-12,68,10,1,Jordan Lee
CUST-0018,Vertex Dynamics,Growth,Legacy On-Premise,Northeast,Healthcare,Active,21900,1825,58,0,2024-02-01,2024-06-03,242,3,10,Tom Wilder
CUST-0019,Summit Labs,Growth,Cloud Analytics Pro,Northeast,Technology,Active,33800,2817,70,0,2024-05-06,2024-05-27,147,38,18,Tom Wilder
CUST-0020,Beacon Technologies,Starter,Reporting Dashboard,Southeast,Healthcare,Active,7400,617,60,7,2024-07-21,2024-08-31,71,42,4,Sara Okonkwo
CUST-0021,Peak Systems,Enterprise,Cloud Analytics Pro,Pacific Northwest,Manufacturing,Active,82000,6833,78,5,2024-06-27,2024-08-03,95,56,2,Marcus Chen
CUST-0022,Nexus Labs,Starter,Reporting Dashboard,International,Education,At Risk,6200,517,82,2,2024-06-02,2024-06-17,120,60,3,Marcus Chen
CUST-0023,Atlas Systems,Starter,Reporting Dashboard,Southeast,Manufacturing,Active,3700,308,61,6,2024-05-15,2024-06-08,138,31,16,Jordan Lee
CUST-0024,Nexus Technologies,Starter,Cloud Analytics Pro,Pacific Northwest,Finance,Churned,8200,683,80,9,2024-03-23,2024-03-26,191,0,14,Tom Wilder
